Position (um),2H Intensity (a.u.),3H Intensity (a.u.),Wavenumber (cm^-1),2H Amplitude (a.u.),2H Phase (deg),3H Amplitude (a.u.),3H Phase (deg)
35.8,0.0023110698,0.0005344313,136.5661621,0.0020070557,112.0043721,0.000620959,142.5064587
36,0.0023152821,0.0005361441,137.3291016,0.001736399,119.2269356,0.0005413721,146.4656384
36.2,0.002315909,0.0005370034,138.092041,0.0014966344,121.6588544,0.0005007896,146.353003
36.4,0.0023133119,0.0005365356,138.8549805,0.0013623933,120.890936,0.0005041042,147.1571364
36.6,0.0023104953,0.000535581,139.6179199,0.0013131729,121.0614657,0.0005174854,152.3046703
36.8,0.0023083145,0.0005349161,140.3808594,0.0012567936,124.0217057,0.0005040842,161.0061224
37,0.0023071663,0.0005348197,141.1437988,0.0011203835,127.723257,0.0004454689,170.8025546
37.2,0.0023068908,0.0005353031,141.9067383,0.0009015792,126.9376939,0.000342398,178.0775519
37.4,0.002308403,0.0005359429,142.6696777,0.0007128476,112.0651527,0.0002183785,173.2602004
37.6,0.0023114197,0.0005363911,143.4326172,0.000801191,86.60171183,0.0001698896,133.7749522
37.8,0.0023157472,0.0005374741,144.1955566,0.0011783651,77.09419955,0.0002901221,108.7843547
38,0.002319931,0.0005387543,144.9584961,0.0016388515,80.99644592,0.0004589882,111.3447121
38.2,0.0023221991,0.0005396523,145.7214355,0.0020562618,90.39374326,0.0006142225,121.6879863
38.4,0.0023220309,0.0005401252,146.484375,0.0023605782,101.7579922,0.0007307002,134.2513978
38.6,0.0023215335,0.0005402525,147.2473145,0.0025158078,113.2481914,0.0007952175,146.8642574
38.8,0.0023220019,0.000540809,148.0102539,0.0025240649,123.4316937,0.0008076057,157.9603318
39,0.0023228149,0.0005414968,148.7731934,0.0024365196,130.9495145,0.0007860169,166.0331542
39.2,0.0023227996,0.0005413614,149.5361328,0.0023546873,135.0564256,0.00076857,170.3116887
39.4,0.0023219014,0.0005410034,150.2990723,0.0023899556,137.0818063,0.0007972335,172.5741119
39.6,0.0023218942,0.0005413491,151.0620117,0.0025748525,140.3796199,0.0008818095,176.7503885
39.8,0.0023229513,0.0005414434,151.8249512,0.0028296654,147.1614033,0.0009897452,-175.037849
40,0.0023244401,0.0005410324,152.5878906,0.0030352638,157.128734,0.0010765031,-163.4485081
40.2,0.0023250454,0.000540743,153.3508301,0.0031070669,168.8415692,0.0011115037,-150.0943297
40.4,0.0023222376,0.0005402664,154.1137695,0.0030228358,-179.2605004,0.0010866348,-136.5630392
40.6,0.0023111477,0.0005367023,154.876709,0.002823387,-168.5522696,0.0010162163,-124.2278695
40.8,0.0022965053,0.0005313879,155.6396484,0.0025941283,-159.8564908,0.0009309385,-113.9719257
41,0.0022843426,0.0005267397,156.4025879,0.0024199445,-152.681013,0.00086283,-105.4566349
41.2,0.0022735588,0.0005224633,157.1655273,0.0023232705,-145.0415333,0.0008232125,-96.78205947
41.4,0.0022666369,0.0005197894,157.9284668,0.0022452252,-135.0745122,0.0007934836,-85.93998858
41.6,0.0022659862,0.0005198238,158.6914062,0.0020997853,-122.5860447,0.0007425732,-72.53199863
41.8,0.0022734873,0.0005226229,159.4543457,0.001836659,-108.9819263,0.0006501569,-57.86005423
42,0.0022847643,0.0005266312,160.2172852,0.0014696654,-97.20732521,0.0005179238,-44.89356128
42.2,0.0022952582,0.0005307141,160.9802246,0.0010947913,-93.09306795,0.0003774474,-40.07824113
42.4,0.0023042889,0.0005338607,161.7431641,0.0009253617,-102.487118,0.0003120562,-51.78128997
42.6,0.0023101922,0.0005354444,162.5061035,0.0011204109,-109.4105293,0.0003968029,-61.27654398
42.8,0.0023123717,0.0005353903,163.269043,0.001507743,-100.428043,0.0005610248,-52.43246419
43,0.0023132685,0.0005357355,164.0319824,0.0019168293,-82.17407741,0.0007354462,-34.11237586
43.2,0.0023149176,0.0005370312,164.7949219,0.0022907561,-60.10464239,0.0008964072,-12.26580991
43.4,0.002315843,0.0005377982,165.5578613,0.0026222648,-36.95116198,0.0010384904,10.47940849
43.6,0.0023156951,0.0005379133,166.3208008,0.0029227013,-14.20741931,0.0011640746,32.83047881
43.8,0.0023145941,0.0005374318,167.0837402,0.0032109315,7.372210914,0.0012794947,54.20985471
44,0.002313602,0.0005370032,167.8466797,0.0035064518,27.65037155,0.0013915616,74.57267531
44.2,0.0023133058,0.000536907,168.6096191,0.0038181145,46.97014167,0.0015025419,94.2463631
44.4,0.002312083,0.0005357825,169.3725586,0.0041304189,65.87038096,0.0016054388,113.672025
44.6,0.0023111731,0.0005346482,170.135498,0.0043985592,84.75732165,0.0016833713,133.1367401
44.8,0.0023121751,0.0005350196,170.8984375,0.0045595662,103.7189162,0.0017146001,152.6312622
45,0.0023140449,0.0005364139,171.661377,0.0045550881,122.5120155,0.0016810188,171.8362126
45.2,0.0023148476,0.00053699,172.4243164,0.0043556718,140.61122,0.0015766355,-169.8579716
45.4,0.0023145333,0.0005366141,173.1872559,0.0039784488,157.23544,0.001413505,-153.3554858
45.6,0.0023150027,0.0005366757,173.9501953,0.0034931745,171.3944476,0.0012234248,-139.7967726
45.8,0.0023161853,0.0005373579,174.7131348,0.0030103555,-177.7902106,0.0010522277,-130.0463158
46,0.0023170266,0.000537201,175.4760742,0.0026385028,-170.1083686,0.000939417,-123.2958395
46.2,0.0023167161,0.0005365662,176.2390137,0.0024103717,-163.371747,0.0008862133,-116.4440542
46.4,0.0023157173,0.0005362372,177.0019531,0.0022489839,-154.9057582,0.0008513586,-106.8065144
46.6,0.0023146245,0.0005358366,177.7648926,0.0020378467,-143.995438,0.0007886015,-94.30952175
46.8,0.0023135421,0.0005358184,178.527832,0.0017096747,-132.0218953,0.0006766845,-80.62082302
47,0.0023129959,0.0005360736,179.2907715,0.0012768852,-122.09368,0.0005236934,-68.41027462
47.2,0.0023127754,0.0005364465,180.0537109,0.0008329655,-121.1253543,0.0003617325,-62.31311954
47.4,0.0023119144,0.000536255,180.8166504,0.0005785173,-141.5086768,0.000243158,-70.18457383
47.6,0.002311547,0.0005362367,181.5795898,0.0006562525,-164.1996792,0.000213228,-88.77266959
47.8,0.0023127218,0.0005365533,182.3425293,0.0008150793,-167.7504608,0.0002292772,-98.09435629
48,0.0023145595,0.0005370632,183.1054687,0.0008979247,-165.2970524,0.0002352152,-101.8255279
48.2,0.0023157279,0.0005377286,183.8684082,0.0009364131,-164.7000027,0.000242932,-109.1108355
48.4,0.0023169677,0.0005381722,184.6313477,0.0010293731,-165.626195,0.0002935908,-115.6640671
48.6,0.0023174475,0.000538375,185.3942871,0.0012099933,-162.3707258,0.0003835014,-112.1027599
48.8,0.0023175633,0.0005384884,186.1572266,0.0014017169,-152.6164898,0.0004706936,-99.65301995
49,0.0023179989,0.0005381553,186.920166,0.0015047694,-138.1527008,0.000519087,-82.3362171
49.2,0.0023179965,0.0005375477,187.6831055,0.0014579284,-121.3078587,0.0005099746,-62.7590215
49.4,0.0023170949,0.0005371057,188.4460449,0.0012527544,-104.1411917,0.0004424353,-42.6409229
49.6,0.002316073,0.0005370729,189.2089844,0.0009309738,-89.23832363,0.0003313132,-23.74583577
49.8,0.0023154213,0.0005372262,189.9719238,0.0005777732,-82.25949074,0.0002032027,-9.514623562
50,0.0023148959,0.0005370799,190.7348633,0.0003291387,-98.12805317,9.339821629E-05,-12.31927936
50.2,0.0023135244,0.0005364569,191.4978027,0.0003063866,-129.8251134,5.606656481E-05,-63.5336846
50.4,0.0023129606,0.0005360494,192.2607422,0.0003353116,-144.6416728,7.373141699E-05,-97.87415063
50.6,0.0023140072,0.0005361132,193.0236816,0.0003517052,-166.4647974,0.0001035615,-125.5264141
50.8,0.002315322,0.0005366396,193.7866211,0.0005604647,172.0700549,0.0001954802,-137.4995008
51,0.0023160421,0.000537285,194.5495605,0.0009845294,174.1816558,0.000342678,-129.3409333
51.2,0.0023164646,0.0005376355,195.3125,0.0014917295,-171.6455746,0.0005116735,-112.7135301
51.4,0.0023167741,0.0005379008,196.0754395,0.0019740873,-152.8543069,0.0006716682,-92.87611588
51.6,0.0023166775,0.0005376953,196.8383789,0.0023506242,-132.2829571,0.0007984788,-72.04006414
51.8,0.0023166318,0.0005375322,197.6013184,0.0025723664,-111.2877744,0.0008785788,-51.42048117
52,0.0023155462,0.0005373167,198.3642578,0.002628794,-90.73296482,0.0009119574,-31.85808093
52.2,0.0023140931,0.0005368373,199.1271973,0.0025478407,-71.27490981,0.0009119386,-13.89820697
52.4,0.0023131703,0.0005363265,199.8901367,0.0023864662,-53.32192398,0.0009001626,2.458816127
52.6,0.002312752,0.000536231,200.6530762,0.0022102192,-36.73290523,0.000895871,18.06918217
52.8,0.0023131046,0.0005364184,201.4160156,0.0020647001,-20.49646803,0.0009041781,34.41542259
53,0.0023139607,0.0005366736,202.1789551,0.001955014,-2.982958879,0.0009136847,52.74131068
53.2,0.0023147312,0.0005369763,202.9418945,0.0018539037,17.19260178,0.0009058849,73.50184882
53.4,0.0023141567,0.0005369107,203.704834,0.0017316834,40.64886571,0.0008665792,96.55517565
53.6,0.0023130967,0.0005363999,204.4677734,0.0015792661,67.39015026,0.0007917909,121.5622339
53.8,0.0023127406,0.0005360895,205.2307129,0.0014111202,97.0095712,0.0006882078,148.2106791
54,0.0023130193,0.0005358724,205.9936523,0.0012531219,128.5224699,0.0005704147,176.2357298
54.2,0.0023150618,0.0005361202,206.7565918,0.0011251175,160.0282746,0.0004565188,-154.7679075
54.4,0.0023186564,0.0005369225,207.5195312,0.0010318839,-171.1332369,0.0003632444,-125.8367717
54.6,0.0023209419,0.0005379063,208.2824707,0.0009739122,-147.4346816,0.0003021694,-99.19306515
