Position (um),2H Intensity (a.u.),3H Intensity (a.u.),Wavenumber (cm^-1),2H Amplitude (a.u.),2H Phase (deg),3H Amplitude (a.u.),3H Phase (deg)
44.2,0.0001020305,1.603658151E-05,168.6096191,0.0001535251,74.29066409,0.000021366,-103.5826256
44.4,0.0001016278,1.611425668E-05,169.3725586,0.0001512683,78.92657323,2.152353406E-05,-19.62615602
44.6,0.0001011811,1.586533496E-05,170.135498,0.0001466647,85.0131463,3.31044324E-05,42.28601829
44.8,0.0001009936,1.525130262E-05,170.8984375,0.0001369257,91.91070091,4.617159861E-05,84.56464921
45,0.0001010346,1.466334998E-05,171.661377,0.0001210618,98.1664009,5.557066391E-05,118.2414351
45.2,0.0001010282,1.469311679E-05,172.4243164,0.0001011549,101.2303638,5.915524726E-05,146.4778758
45.4,0.0001010575,1.497585208E-05,173.1872559,8.362873979E-05,97.65356553,5.698633545E-05,169.4367912
45.6,0.0001012379,1.57267234E-05,173.9501953,7.772138532E-05,87.95222778,5.155571138E-05,-174.097468
45.8,0.0001013671,1.608625821E-05,174.7131348,8.484356895E-05,81.64525885,4.741850328E-05,-164.4927339
46,0.0001012837,1.570009667E-05,175.4760742,9.460043742E-05,83.62989589,4.80639227E-05,-156.9314978
46.2,0.0001014593,0.000015483,176.2390137,9.69658186E-05,90.57552171,5.163459303E-05,-144.3873247
46.4,0.0001014614,1.52332632E-05,177.0019531,8.796061718E-05,97.58170385,5.312294451E-05,-125.0725715
46.6,0.0001011076,1.530477991E-05,177.7648926,7.092450769E-05,97.86252967,0.000048975,-99.78769726
46.8,0.0001009621,0.000015594,178.527832,6.067873122E-05,82.817988,3.861988689E-05,-67.41401711
47,0.0001010956,1.553185015E-05,179.2907715,7.526330631E-05,66.65296142,2.551481334E-05,-19.35327327
47.2,0.0001013088,1.513174571E-05,180.0537109,0.0001040032,67.77814657,2.191990866E-05,58.89924688
47.4,0.0001015959,1.496544886E-05,180.8166504,0.0001286036,79.08205647,0.000034217,120.4145237
47.6,0.0001019904,1.484346334E-05,181.5795898,0.0001390037,94.30059932,4.837882691E-05,159.0288474
47.8,0.0001024278,1.419047335E-05,182.3425293,0.0001310085,110.1332126,5.747807931E-05,-170.1704213
48,0.0001026501,1.390049062E-05,183.1054688,0.0001056574,123.1616598,5.953929906E-05,-142.9394625
48.2,0.0001024984,1.442653342E-05,183.8684082,7.129468184E-05,124.9790494,5.503571564E-05,-118.284039
48.4,0.0001018917,1.420549258E-05,184.6313477,5.527831158E-05,97.87292979,4.617825239E-05,-96.21747398
48.6,0.0001014918,1.325390803E-05,185.3942871,8.357947937E-05,78.76097878,3.610914767E-05,-76.73676741
48.8,0.000101712,1.289624999E-05,186.1572266,0.0001239887,85.40647586,0.000027663,-57.77285969
49,0.0001021235,1.322309377E-05,186.920166,0.0001559001,100.5095665,2.224749861E-05,-32.11217205
49.2,0.0001021357,1.38524282E-05,187.6831055,0.0001727327,118.0621209,2.134187686E-05,8.875956356
49.4,0.0001018909,1.391831465E-05,188.4460449,0.0001736201,135.7888569,2.833828222E-05,56.15235689
49.6,0.0001018414,0.00001389,189.2089844,0.0001616602,152.282351,4.286930725E-05,94.90634004
49.8,0.0001021026,0.000013961,189.9719238,0.0001428186,166.3421473,6.081626863E-05,126.8772456
50,0.0001021747,1.402391368E-05,190.7348633,0.0001243545,177.2532502,7.785565935E-05,155.8421898
50.2,0.0001022698,1.405131405E-05,191.4978027,0.0001121785,-174.0311528,9.019519523E-05,-176.4169896
50.4,0.0001026212,1.375327159E-05,192.2607422,0.0001077792,-164.4163424,9.50342127E-05,-149.0614931
50.6,0.0001026606,1.385455933E-05,193.0236816,0.000108393,-151.0641627,9.103873725E-05,-121.5059509
50.8,0.0001025141,1.422986938E-05,193.7866211,0.0001109753,-133.3712671,7.862286069E-05,-92.97801637
51,0.0001020816,1.434082473E-05,194.5495605,0.0001147971,-112.2123614,6.001784677E-05,-61.79996401
